x,y
0.0000000000,1.0000000000
0.0100000000,0.9998034632
0.0200000000,0.9992274162
0.0300000000,0.9982915679
0.0400000000,0.9970148067
0.0500000000,0.9954152325
0.0600000000,0.9935101885
0.0700000000,0.9913162914
0.0800000000,0.9888494600
0.0900000000,0.9861249433
0.1000000000,0.9831573471
0.1100000000,0.9799606597
0.1200000000,0.9765482766
0.1300000000,0.9729330241
0.1400000000,0.9691271822
0.1500000000,0.9651425063
0.1600000000,0.9609902481
0.1700000000,0.9566811762
0.1800000000,0.9522255950
0.1900000000,0.9476333637
0.2000000000,0.9429139137
0.2100000000,0.9380762662
0.2200000000,0.9331290487
0.2300000000,0.9280805105
0.2400000000,0.9229385380
0.2500000000,0.9177106697
0.2600000000,0.9124041098
0.2700000000,0.9070257419
0.2800000000,0.9015821418
0.2900000000,0.8960795902
0.3000000000,0.8905240844
0.3100000000,0.8849213499
0.3200000000,0.8792768512
0.3300000000,0.8735958029
0.3400000000,0.8678831794
0.3500000000,0.8621437248
0.3600000000,0.8563819623
0.3700000000,0.8506022031
0.3800000000,0.8448085554
0.3900000000,0.8390049323
0.4000000000,0.8331950599
0.4100000000,0.8273824852
0.4200000000,0.8215705832
0.4300000000,0.8157625638
0.4400000000,0.8099614792
0.4500000000,0.8041702298
0.4600000000,0.7983915708
0.4700000000,0.7926281180
0.4800000000,0.7868823539
0.4900000000,0.7811566329
0.5000000000,0.7754531867
0.5100000000,0.7697741296
0.5200000000,0.7641214631
0.5300000000,0.7584970810
0.5400000000,0.7529027736
0.5500000000,0.7473402320
0.5600000000,0.7418110528
0.5700000000,0.7363167413
0.5800000000,0.7308587160
0.5900000000,0.7254383122
0.6000000000,0.7200567850
0.6100000000,0.7147153136
0.6200000000,0.7094150036
0.6300000000,0.7041568910
0.6400000000,0.6989419445
0.6500000000,0.6937710690
0.6600000000,0.6886451079
0.6700000000,0.6835648459
0.6800000000,0.6785310117
0.6900000000,0.6735442805
0.7000000000,0.6686052758
0.7100000000,0.6637145724
0.7200000000,0.6588726981
0.7300000000,0.6540801359
0.7400000000,0.6493373260
0.7500000000,0.6446446679
0.7600000000,0.6400025217
0.7700000000,0.6354112105
0.7800000000,0.6308710217
0.7900000000,0.6263822088
0.8000000000,0.6219449930
0.8100000000,0.6175595642
0.8200000000,0.6132260832
0.8300000000,0.6089446826
0.8400000000,0.6047154682
0.8500000000,0.6005385201
0.8600000000,0.5964138945
0.8700000000,0.5923416240
0.8800000000,0.5883217195
0.8900000000,0.5843541708
0.9000000000,0.5804389479
0.9100000000,0.5765760016
0.9200000000,0.5727652649
0.9300000000,0.5690066537
0.9400000000,0.5653000675
0.9500000000,0.5616453907
0.9600000000,0.5580424928
0.9700000000,0.5544912296
0.9800000000,0.5509914437
0.9900000000,0.5475429654
1.0000000000,0.5441456132
