x,y1,y2
0.0000000000,1.0000000000,0.0000000000
0.0100000000,0.9998035000,-0.0389648333
0.0200000000,0.9992274868,-0.0759165848
0.0300000000,0.9982916697,-0.1109390170
0.0400000000,0.9970149369,-0.1441125600
0.0500000000,0.9954153888,-0.1755144427
0.0600000000,0.9935103687,-0.2052188186
0.0700000000,0.9913164932,-0.2332968870
0.0800000000,0.9888496814,-0.2598170094
0.0900000000,0.9861251825,-0.2848448208
0.1000000000,0.9831576022,-0.3084433377
0.1100000000,0.9799609291,-0.3306730608
0.1200000000,0.9765485588,-0.3515920739
0.1300000000,0.9729333176,-0.3712561398
0.1400000000,0.9691274856,-0.3897187911
0.1500000000,0.9651428183,-0.4070314183
0.1600000000,0.9609905676,-0.4232433544
0.1700000000,0.9566815021,-0.4384019556
0.1800000000,0.9522259263,-0.4525526796
0.1900000000,0.9476336993,-0.4657391604
0.2000000000,0.9429142527,-0.4780032800
0.2100000000,0.9380766080,-0.4893852377
0.2200000000,0.9331293923,-0.4999236165
0.2300000000,0.9280808552,-0.5096554467
0.2400000000,0.9229388832,-0.5186162672
0.2500000000,0.9177110148,-0.5268401848
0.2600000000,0.9124044542,-0.5343599301
0.2700000000,0.9070260851,-0.5412069121
0.2800000000,0.9015824834,-0.5474112707
0.2900000000,0.8960799297,-0.5530019263
0.3000000000,0.8905244213,-0.5580066285
0.3100000000,0.8849216839,-0.5624520021
0.3200000000,0.8792771820,-0.5663635914
0.3300000000,0.8735961302,-0.5697659035
0.3400000000,0.8678835029,-0.5726824486
0.3500000000,0.8621440442,-0.5751357800
0.3600000000,0.8563822774,-0.5771475319
0.3700000000,0.8506025137,-0.5787384555
0.3800000000,0.8448088614,-0.5799284541
0.3900000000,0.8390052335,-0.5807366168
0.4000000000,0.8331953562,-0.5811812509
0.4100000000,0.8273827764,-0.5812799122
0.4200000000,0.8215708692,-0.5810494357
0.4300000000,0.8157628446,-0.5805059635
0.4400000000,0.8099617546,-0.5796649727
0.4500000000,0.8041704999,-0.5785413016
0.4600000000,0.7983918354,-0.5771491751
0.4700000000,0.7926283772,-0.5755022291
0.4800000000,0.7868826076,-0.5736135339
0.4900000000,0.7811568811,-0.5714956166
0.5000000000,0.7754534294,-0.5691604828
0.5100000000,0.7697743668,-0.5666196375
0.5200000000,0.7641216949,-0.5638841046
0.5300000000,0.7584973073,-0.5609644465
0.5400000000,0.7529029945,-0.5578707821
0.5500000000,0.7473404475,-0.5546128049
0.5600000000,0.7418112629,-0.5511997997
0.5700000000,0.7363169461,-0.5476406588
0.5800000000,0.7308589156,-0.5439438979
0.5900000000,0.7254385066,-0.5401176713
0.6000000000,0.7200569743,-0.5361697859
0.6100000000,0.7147154978,-0.5321077153
0.6200000000,0.7094151828,-0.5279386132
0.6300000000,0.7041570652,-0.5236693262
0.6400000000,0.6989421139,-0.5193064061
0.6500000000,0.6937712335,-0.5148561216
0.6600000000,0.6886452677,-0.5103244699
0.6700000000,0.6835650011,-0.5057171873
0.6800000000,0.6785311624,-0.5010397600
0.6900000000,0.6735444266,-0.4962974338
0.7000000000,0.6686054175,-0.4914952241
0.7100000000,0.6637147098,-0.4866379251
0.7200000000,0.6588728312,-0.4817301187
0.7300000000,0.6540802648,-0.4767761828
0.7400000000,0.6493374509,-0.4717803001
0.7500000000,0.6446447887,-0.4667464655
0.7600000000,0.6400026386,-0.4616784939
0.7700000000,0.6354113235,-0.4565800275
0.7800000000,0.6308711310,-0.4514545426
0.7900000000,0.6263823145,-0.4463053568
0.8000000000,0.6219450950,-0.4411356349
0.8100000000,0.6175596627,-0.4359483954
0.8200000000,0.6132261783,-0.4307465165
0.8300000000,0.6089447743,-0.4255327417
0.8400000000,0.6047155566,-0.4203096854
0.8500000000,0.6005386054,-0.4150798380
0.8600000000,0.5964139766,-0.4098455711
0.8700000000,0.5923417030,-0.4046091425
0.8800000000,0.5883217956,-0.3993727005
0.8900000000,0.5843542440,-0.3941382889
0.9000000000,0.5804390182,-0.3889078508
0.9100000000,0.5765760691,-0.3836832332
0.9200000000,0.5727653297,-0.3784661905
0.9300000000,0.5690067159,-0.3732583888
0.9400000000,0.5653001272,-0.3680614092
0.9500000000,0.5616454479,-0.3628767515
0.9600000000,0.5580425476,-0.3577058376
0.9700000000,0.5544912820,-0.3525500146
0.9800000000,0.5509914938,-0.3474105582
0.9900000000,0.5475430133,-0.3422886752
1.0000000000,0.5441456589,-0.3371855069
